timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1632455889693,743,HTTP Request,200,OK,advancedThreadGroup 1-38,text,true,,2665,260,40,40,https://reqres.in/api/users?page=2,141,0,54
1632455889693,141,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-38,,true,,718,130,40,40,http://reqres.in/api/users?page=2,141,0,54
1632455889834,602,HTTP Request-1,200,OK,advancedThreadGroup 1-38,text,true,,1947,130,40,40,https://reqres.in/api/users?page=2,602,0,524
1632455890057,389,HTTP Request,200,OK,advancedThreadGroup 1-16,text,true,,2665,260,40,40,https://reqres.in/api/users?page=2,108,0,51
1632455890057,108,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-16,,true,,714,130,40,40,http://reqres.in/api/users?page=2,108,0,51
1632455890165,281,HTTP Request-1,200,OK,advancedThreadGroup 1-16,text,true,,1951,130,40,40,https://reqres.in/api/users?page=2,281,0,181
1632455889647,813,HTTP Request,200,OK,advancedThreadGroup 1-26,text,true,,2653,260,40,40,https://reqres.in/api/users?page=2,414,0,56
1632455889647,414,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-26,,true,,712,130,40,40,http://reqres.in/api/users?page=2,414,0,56
1632455890061,399,HTTP Request-1,200,OK,advancedThreadGroup 1-26,text,true,,1941,130,40,40,https://reqres.in/api/users?page=2,399,0,251
1632455890102,365,HTTP Request,200,OK,advancedThreadGroup 1-34,text,true,,2655,260,40,40,https://reqres.in/api/users?page=2,126,0,55
1632455890102,126,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-34,,true,,714,130,40,40,http://reqres.in/api/users?page=2,126,0,55
1632455890228,239,HTTP Request-1,200,OK,advancedThreadGroup 1-34,text,true,,1941,130,40,40,https://reqres.in/api/users?page=2,239,0,176
1632455890090,388,HTTP Request,200,OK,advancedThreadGroup 1-30,text,true,,2663,260,40,40,https://reqres.in/api/users?page=2,111,0,54
